rank,bar,address,neighborhood,avg_km_per_player,proximity_score,space_2board_score,space_confidence,food,tuesday_status,insider_flag,transit8,walk_g,walk_ac,total_score,ownership,in_red_circle,open_status,league_bar_adjacent,phone,space_notes,space_detail,food_detail,tuesday_detail,insider_note,transit,notes,lat,lon,called_on,spoke_to,two_boards_confirmed,tuesday_confirmed,outcome
11,The Franklin,448 Franklin Ave,Bed-Stuy,3.77,4.2,3,UNKNOWN,UNKNOWN,UNKNOWN,,8/8,0.49,0.47,2.86,UNVERIFIED - no group affiliation found,IN,OPEN,no,,"KNOWN: indoor plus limited outdoor; wine-bar leaning. UNKNOWN: size, layout, wall space. No size information found anywhere.",Indoor + limited outdoor; wine-bar leaning,,,,G Bedford-Nostrand; A/C Franklin,Wine focus may be wrong room for steel tip,40.6852,-73.957,,,,,
12,Black Forest Brooklyn,733 Fulton St,Fort Greene,3.97,3.6,4,"UNKNOWN - big room, wall run unverified",YES - KITCHEN,TRIVIA 7:30 + CLOSES 10PM,CJ ADDED - MAY COEXIST WITH TRIVIA,8/8,0.28,0.12,2.8,"SMALL LOCAL GROUP - 2 sites (733 Fulton St + 181 Smith St), opened ~2013 by Black Forest natives",IN,OPEN,no,,"German beer hall. Main room is the 'Skylight Room' - brick and wood, two large skylights, SEVEN LARGE COMMUNAL TABLES plus hightops - with a backyard beer garden and heated sidewalk seating. CJ's read: big enough that trivia and darts might run at the same time. The open question is not volume but a CLEAR WALL RUN - communal tables fill the floor, though unlike fixed banquettes they can be moved. UNVERIFIED in person.","'Skylight Room' with seven large communal tables + hightops; backyard beer garden; sidewalk seating. The Smith St sister site has a separate Back Room plus a covered backyard chalet, but is far worse on distance (4.86).","German beer hall food - pretzels, wursts. 14 German drafts in half-litre, litre and two-litre boots. Private event packages $22-60/person food, from $40/person beverage.","TWO problems, and the second is the bigger one. (1) Trivia Tuesdays weekly, free-to-play, 7:30pm - CJ's view is the room may be big enough to run both. (2) CLOSES 10PM Mon-Thu. A 7pm start needing 3-4.5 hours runs to 10:00-11:30pm, so a 10pm close does not fit a match night at all. Direct question for a phone call: would they stay open later for a booked league?","CJ, 2026-09-18: add it - the location could be big enough to run trivia and darts at the same time.","BEST TRANSIT OF ANY CANDIDATE. Lafayette Av (C) 0.12km and Fulton St (G) 0.28km - the project's core test, walk to both the G and the C from the front door, is satisfied outright and more comfortably than at Fulton Grand. Atlantic-Barclays hub (2/3/4/5/B/D/N/Q/R) at 0.41km also gives Craig and Elle a one-seat ride from Manhattan.","ADDED AT CJ'S REQUEST. Strongest transit in the file and 4th-best distance of the live set at 3.97 km/player, with a genuinely large room. Held back entirely by Tuesday: trivia at 7:30 AND a 10pm close. Score 2.8 reflects the 10pm close, which no amount of floor space fixes unless they will extend. Two sites, so it passes the not-a-chain screen.",40.6863,-73.9723,,,,,
13,Bed-Vyne Cocktail,Throop Ave at Halsey St,Bed-Stuy,3.9,3.7,3,UNKNOWN,UNKNOWN,UNKNOWN,,0/8,1.17,0.89,2.74,UNVERIFIED - no group affiliation found,IN,OPEN,no,,"NO SPACE INFORMATION FOUND AT ALL. Listed only as a cocktail bar, sister to Bed-Vyne Brew. Complete unknown - could be great or tiny.",Cocktail bar; sister to Bed-Vyne Brew,,,,B26/B46 bus,,40.6848,-73.9412,,,,,
14,The Layup,47 5th Ave,Park Slope / Boerum Hill,4.35,2.0,3,UNKNOWN,YES - KITCHEN,UNKNOWN,,6/8,0.82,0.84,2.73,INDEPENDENT (likely) - single-location sports bar; OWNERSHIP CHANGED in the last year,IN,OPEN,no,,"NO DARTBOARD - assume none, unconfirmed. They were lined up to join the league about a year ago but ownership changed before it happened, so they have never hosted darts and there is no proven board fit. KNOWN: sports bar, nine screens, wall of TVs. UNKNOWN: floor area and whether any wall is free of televisions - in a nine-screen sports bar the walls are the contested surface.","Sports bar, nine screens; no dartboard (assumed), never hosted darts",Classic bar food,,,Bergen St (2/3) 0.38km; Atlantic-Barclays hub 0.46km; Union St (R) 0.46km; G 0.82km; A/C 0.84km. Craig and Elle get a ONE-SEAT R ride from 14th St-Union Sq - better than their L-to-G elsewhere.,"Suggested by CJ. Was due to join the league a year ago; ownership changed and it never happened - the new owner has made no commitment. Geographically the furthest west of the live set: Mark and Olivia could walk it (0.7km) but it is 4.8-6.1km for Hayley, Mitch and Lulu and 13.4km for Chris. CAUTION: a change of ownership voiding an expected arrangement is exactly how the last bar was lost.",40.6805,-73.9795,,,,,
15,Bar Sepia,234 Underhill Ave,Prospect Heights,4.19,2.7,3,UNKNOWN,UNKNOWN,UNKNOWN,,2/8,1.21,0.57,2.46,INDEPENDENT (likely) - single location,IN,OPEN,no,,KNOWN: board games available - signals a games-tolerant owner. UNKNOWN: size.,Board games; neighbourhood bar,,,,C Clinton-Washington 0.6km; G 1.2km,,40.678,-73.967,,,,,
16,Plan B,626 Vanderbilt Ave,Prospect Heights,4.2,2.6,3,UNKNOWN,UNKNOWN,UNKNOWN,,2/8,1.15,0.59,2.45,INDEPENDENT (likely) - single location,IN,OPEN,no,,"KNOWN: lots of TVs playing sports, cheap happy hour. Sports-bar format often means open floor. UNKNOWN: size.",Sports bar; many TVs,,,,C Clinton-Washington 0.6km; G 1.2km,,40.6782,-73.9686,,,,,
17,Bearded Lady,686 Washington Ave,Prospect Heights,4.21,2.6,3,UNKNOWN,UNKNOWN,UNKNOWN,,2/8,1.37,0.71,2.44,"INDEPENDENT - owner also opened a second bar on Nostrand (2 bars, local)",IN,OPEN,no,,"KNOWN: has a pool table, cheap domestic beer. UNKNOWN: room size entirely.",Pool table; cheap beer,,,,C Clinton-Washington 0.8km; G 1.4km,,40.6768,-73.9636,,,,,
18,Nostrand Avenue Pub,722 Nostrand Ave,Crown Heights,4.34,2.1,3,UNKNOWN,UNKNOWN,UNKNOWN,,2/8,1.77,0.75,2.31,UNVERIFIED - no group affiliation found,IN,OPEN,no,,KNOWN: beer pub with extensive rotating taps. UNKNOWN: size and layout - no description found.,Beer pub; extensive rotating taps,,,,B44; 3 Nostrand,Far south,40.674,-73.9503,,,,,
19,Do or Dive,1108 Bedford Ave,Bed-Stuy,3.72,4.4,3,UNKNOWN,LIMITED,CLEAR,WARNED,8/8,0.34,0.65,2.21,UNVERIFIED - no group affiliation found,IN,OPEN,no,,"KNOWN: has a pool table, so some open floor exists. UNKNOWN: room size, wall availability, and whether anything is left over after the pool table. Two-board capacity is a complete guess right now.",Dive w/ pool table - one game footprint. Two boards unproven,"Bar snacks, ham & cheese croissants, frozen coffee",Mon-Sat 12pm-4am,Commissioner's contact: 'a meat market for 23 year olds'. Wrong crowd for a 3-4.5hr Tuesday match.,G Bedford-Nostrand; B44,Pool table may compete for the same floor,40.6868,-73.9549,,,,,
20,Brooklyn Beso,370 Lewis Ave,Bed-Stuy,3.92,3.7,3,UNKNOWN,UNKNOWN,UNKNOWN,,0/8,1.48,1.43,2.18,UNVERIFIED - no group affiliation found,EDGE,OPEN,no,,"KNOWN: garden-like space, colorful murals, lounge chairs, DJ backyard. UNKNOWN: indoor room - all descriptions are of the outdoor area.",Garden space; DJ backyard,,,,B46/B15,Sits ON the boundary line - VERIFY,40.687,-73.9355,,,,,
21,The Dram Shop,339 9th St,Park Slope,5.30,0.1,4,"STRONG SIGNAL - DARTS, POOL AND SHUFFLEBOARD",YES - KITCHEN (sports bar menu),UNKNOWN,"CJ ADDED - LAST DITCH, TOO FAR",4/8,0.20,2.10,2.0,"INDEPENDENT (likely) - single location, 15+ years",IN,OPEN,yes,,"Best game-space signals of any candidate: DARTS, POOL *AND* SHUFFLEBOARD in one venue, and the Brooklyn APA Pool League operates out of this address - so it already hosts an outside league on a weeknight. Three floor games means the floor is genuinely there. UNVERIFIED: steel tip vs soft tip, clear depth, and whether Tuesday is free.","Sports bar with darts, pool and shuffleboard; hosts the Brooklyn APA Pool League",,"Not established. The APA pool league runs out of here, so ask which nights it occupies.","CJ, 2026-09-18: add it, but note it is really far - a LAST DITCH bar for us.","4th Av-9th St (F/G/R) 0.20km, so the G is very close. Nearest A/C is about 2.1km - effectively unusable. transit8 4/8 is an ESTIMATE.","LAST-DITCH OPTION, CJ'S WORDS. At 5.30 km/player it is comfortably the furthest live candidate - 0.58 km beyond even the old home bar and 1.71 km worse than The Emerson - which is why it scores 2.0 and sits last despite having the strongest game-space evidence on the list. Only worth a call if the closer options fail.",40.6690,-73.9870,,,,,
22,Bad Luck Bar,492 Nostrand Ave,Bed-Stuy,3.78,4.2,2,LIKELY-TOO-SMALL,UNKNOWN,UNKNOWN,,8/8,0.55,0.53,1.69,UNVERIFIED - no group affiliation found,IN,OPEN,no,,"KNOWN: round marble bar with window-table seating. INFERRED: descriptions focus on the bar itself with no room or back area mentioned, which usually means one small room. UNKNOWN: confirmed dimensions.",Round marble bar + window seating - reads small,,,,B44; G Bedford-Nostrand,,40.6855,-73.95,,,,,
23,Cocktail Bedstuy,305 Halsey St,Bed-Stuy,3.78,4.2,2,LIKELY-TOO-SMALL,UNKNOWN,UNKNOWN,,8/8,0.6,0.54,1.69,UNVERIFIED - no group affiliation found,IN,OPEN,no,,"KNOWN: explicitly described as a 'narrow, brick-lined space' with a backyard. A narrow room is the single worst shape for a throwing lane. Two boards very unlikely, though not formally measured.","'Narrow, brick-lined space' + backyard",,,,B44/B26,Narrow - unlikely to fit two lanes,40.6855,-73.949,,,,,
24,Washington Commons,748 Washington Ave,Prospect Heights,4.32,2.2,4,PARTIAL,BYO / DELIVERY OK,UNKNOWN,VIBE CONCERN,0/8,1.59,0.91,1.63,SMALL LOCAL GROUP - same team as Fulton Grand and 4th Avenue Pub (3 bars),IN,OPEN,no,,"KNOWN: split-level interior, big backyard with 13 picnic tables, multiple TVs. Split-level + 13-table yard means genuinely large premises. UNKNOWN: whether the indoor level has a clear wall run for two lanes - the size evidence is mostly about the yard.",Split-level interior + large backyard (13 picnic tables) + multiple TVs,"No kitchen, but explicitly welcomes outside food and delivery - plus free popcorn",,"Named by the commissioner's contact, but CJ rates it low on vibe for a darts night.",2/3 Eastern Pkwy; S Botanic Garden; B45,"Low on vibe per CJ, and 0 of 8 on transit - too far from both the G and the A/C. The split-level room and BYO-food policy were the draw; neither survives those two problems.",40.6748,-73.963,,,,,
25,C'mon Everybody,325 Franklin Ave,Bed-Stuy,3.94,3.6,5,CONFIRMED-GOOD,UNKNOWN,BOOKED,,4/8,0.91,0.05,1.6,UNVERIFIED - no group affiliation found,IN,OPEN,no,,"KNOWN: purpose-built separate back stage room - a real room, almost certainly fits two lanes. UNKNOWN: nothing about space; the blocker here is Tuesday programming, not square footage.","Front bar + SEPARATE BACK STAGE ROOM - purpose-built room, easily fits two lanes",,Active music venue - Tuesday events booked (Tue 5pm-2am),,A/C Franklin,Best room on the list but it is programmed Tuesdays. Ask if Tue is ever free,40.6812,-73.9565,,,,,
26,Frog Wine Bar,358 Marcus Garvey Blvd,Bed-Stuy,3.86,3.9,2,LIKELY-TOO-SMALL,UNKNOWN,UNKNOWN,,0/8,1.28,1.28,1.31,UNVERIFIED - no group affiliation found,EDGE,OPEN,no,,CONFLICTING: has a pool table in back (implies some floor) but is explicitly described as having 'little space'. The direct negative probably wins. UNKNOWN: which room the pool table is in.,Pool table in back + backyard BUT 'little space' indoors,,,,B46/B15,~0.2km inside boundary - VERIFY,40.6875,-73.938,,,,,
27,Zig Zag,382 Marcus Garvey Blvd,Bed-Stuy,3.87,3.8,2,UNKNOWN,UNKNOWN,UNKNOWN,,0/8,1.31,1.25,1.3,UNVERIFIED - no group affiliation found,EDGE,OPEN,no,,"KNOWN: tropical decor with plants and animals. That is a decor description, not a size one. UNKNOWN: everything about dimensions.",Tropical lounge; retro decor,,,,B46/B15,~0.2km inside boundary - VERIFY,40.687,-73.938,,,,,
28,Bed Stuy Barb's,380A Marcus Garvey Blvd,Bed-Stuy,3.87,3.8,2,UNKNOWN,UNKNOWN,UNKNOWN,,0/8,1.31,1.25,1.3,UNVERIFIED - no group affiliation found,EDGE,OPEN,no,,NO SPACE INFORMATION FOUND. Listed only as a cocktail bar on Marcus Garvey Blvd.,Cocktail bar,,,,B46/B15,~0.2km inside boundary - VERIFY,40.687,-73.938,,,,,
29,Glorietta Baldy's,502 Franklin Ave,Bed-Stuy,3.74,4.3,1,CONFIRMED-TOO-SMALL,YES - KITCHEN,CLEAR,RULED OUT,8/8,0.39,0.59,0.56,SMALL LOCAL GROUP - with Cardiff Giant and Bar Great Harry (3 bars),IN,OPEN,no,,"RULED OUT BY CJ, firsthand: small room and the wrong feel for a weekly darts night. Overrides the earlier UNKNOWN. The pinball machines were never floor-space evidence - they sit against a wall.",Pinball machines (wall footprint only); floor space unproven,"Wood-fired pizzas, discounted at happy hour","Trivia is WEDNESDAY, not Tuesday","Named by the commissioner's contact, but CJ rules it out on size and fit.",G Bedford-Nostrand; A/C Franklin,"RULED OUT by CJ: too small, wrong vibe. Wood-fired pizza was the draw, not the room.",40.6862,-73.9572,,,,,
30,Hartley's,14 Putnam Ave,Clinton Hill,3.81,4.1,1,CONFIRMED-TOO-SMALL,YES - KITCHEN,CLEAR,RULED OUT,8/8,0.4,0.33,0.54,"INDEPENDENT - Irish pub, single location",IN,OPEN,no,(347) 799-2877,"RULED OUT BY CJ, firsthand: the room is small and will not take two lanes. This overrides the earlier UNKNOWN - the 'cozy shebeen' description cut the wrong way. Great Guinness, wrong room.",Cozy Irish pub; kitchen; Monday trad session,"Full Irish comfort-food menu, daily-baked soda bread, locally sourced",Live trad Irish session is MONDAY 8pm - Tuesday appears clear,"Named by the commissioner's contact as a possibility, but CJ has been in and rules it out on both size and fit - not the kind of place that would want a darts team.",G Classon; C Clinton-Washington; B38/B54,"RULED OUT by CJ: too small, and the wrong vibe for a weekly darts night.",40.6858,-73.9645,,,,,
31,Doppelganger (was Cardiff Giant),415 Myrtle Ave,Clinton Hill,3.72,4.4,1,RULED OUT - NO ROOM,UNKNOWN,OPEN TUE 4pm-12am,RULED OUT,6/8,0.47,0.86,0.0,"INDEPENDENT - Double Walker Beer LLC, single location (opened May 2025)",IN,OPEN,no,,"RULED OUT BY CJ from photos: not enough space anywhere in the bar to host a game and hang a board. This finally answers the blank that sat on this address - the old Cardiff Giant row read 'the entire indoor picture, total blank'. Coverage of the handover says only modest changes were made to the space, so the room CJ judged is the same room that was never described.",Backyard (the Beertanical Garden); indoor room small - ruled out,20 beers + 20 ciders,"Open Tuesday 4pm-12am, which would have been a workable window. Space is the blocker, not the night.","CJ, 2026-09-18: from photos, no room anywhere for a board plus throwing space. Ruled out without a visit.",G Clinton-Washington; B54,"VENUE CHANGED: Cardiff Giant CLOSED in March 2026; this address is now Doppelganger, a lager bar whose house game is crokinole - single location, so cleaner on the not-a-chain screen than Cardiff Giant's 3-bar group. Third-closest address assessed at 3.71 km/player and two blocks from The Emerson and Moot Bar, which makes the space verdict the expensive part. RULED OUT on space.",40.693,-73.968,,,,,"RULED OUT 2026-09-18 - no room for a board; venue is now Doppelganger, Cardiff Giant closed Mar 2026"
